Candidate_ID,Name,Age,Total_Experience,Relevant_Experience,Skill_Type,Distance_Between_Birthplace_and_Home,Last_Drawn_Compensation,Actual_Compensation,Predicted_Compensation,Gender
3001,Person_1,52,12,12,Analytical,857,607635,1408000,2270892,Male
3002,Person_2,58,4,4,Analytical,358,1763002,1763002,861313,Female
3003,Person_3,28,28,15,Creative,906,2102852,2102852,1854442,Female
3004,Person_4,49,34,13,Analytical,551,1875366,1875366,1709720,Female
3005,Person_5,48,19,19,Technical,287,1701795,1842958,2371099,Male
3006,Person_6,56,11,11,Analytical,431,1205848,1923354,2192156,Male
3007,Person_7,45,2,2,Management,363,1414198,1807939,767645,Male
3008,Person_8,34,18,18,Analytical,863,1260054,1260054,1144692,Male
3009,Person_9,23,27,26,Technical,812,592251,2381768,2459673,Female
3010,Person_10,38,38,32,Technical,87,503652,1160684,2470208,Male
3011,Person_11,53,9,9,Technical,851,1967567,2372166,1766431,Female
3012,Person_12,23,4,4,Management,490,1643602,1863488,1357074,Female
3013,Person_13,32,30,5,Analytical,134,1246355,1652564,2398131,Male
3014,Person_14,56,11,11,Creative,577,670019,670019,1094397,Male
3015,Person_15,42,8,8,Management,543,832401,1772464,1810111,Male
3016,Person_16,49,11,11,Creative,625,1397878,1397878,662423,Female
3017,Person_17,41,6,6,Technical,770,853159,853159,1951896,Male
3018,Person_18,47,16,16,Analytical,809,520046,520046,1590839,Male
3019,Person_19,35,40,32,Management,488,879610,2056320,660627,Male
3020,Person_20,60,20,20,Management,989,878540,878540,733042,Male
3021,Person_21,53,28,0,Management,788,572515,572515,935602,Female
3022,Person_22,41,40,21,Management,891,1472877,2099936,811508,Male
3023,Person_23,57,22,22,Analytical,171,588112,588112,1585361,Male
3024,Person_24,27,40,17,Creative,992,738032,738032,1614802,Female
3025,Person_25,53,14,14,Management,362,1292790,2482068,2223891,Female
3026,Person_26,30,29,29,Technical,559,2073554,2239641,728050,Female
3027,Person_27,37,28,14,Analytical,110,568041,2109595,679315,Male
3028,Person_28,35,33,11,Creative,734,637548,637548,984773,Female
3029,Person_29,59,6,6,Creative,998,1687038,1687038,588806,Female
3030,Person_30,59,0,0,Technical,440,1656530,1656530,871566,Female
3031,Person_31,60,11,10,Creative,458,1157287,1157287,648272,Female
3032,Person_32,57,8,8,Creative,197,521352,724897,2272539,Male
3033,Person_33,36,7,7,Analytical,1000,920217,920217,2467314,Male
3034,Person_34,56,20,6,Management,122,1490408,1490408,608535,Female
3035,Person_35,53,32,32,Technical,330,1541388,2175162,1607029,Male
3036,Person_36,50,28,26,Technical,623,929781,929781,1950556,Female
3037,Person_37,48,31,22,Technical,271,870879,870879,2145720,Female
3038,Person_38,48,33,15,Creative,135,960011,1576536,1833053,Male
3039,Person_39,30,10,3,Creative,174,1449081,1622820,1500963,Male
3040,Person_40,26,8,8,Technical,791,752618,2406546,2279421,Male
3041,Person_41,49,36,10,Management,556,585392,1187459,2409849,Male
3042,Person_42,28,0,0,Analytical,641,958797,958797,1270042,Female
3043,Person_43,57,14,14,Management,618,955423,955423,2239862,Female
3044,Person_44,32,38,29,Technical,683,546161,546161,1748318,Female
3045,Person_45,48,15,15,Technical,897,646418,646418,600991,Female
3046,Person_46,54,34,33,Technical,862,1173001,1542359,2475137,Male
3047,Person_47,58,21,7,Creative,986,542870,542870,1082515,Female
3048,Person_48,45,12,12,Creative,161,1504117,1504117,2252787,Female
3049,Person_49,45,10,2,Management,427,524378,2227053,643384,Male
3050,Person_50,51,7,0,Analytical,291,1083045,1083045,984216,Male
3051,Person_51,51,36,34,Technical,156,1010676,1068107,2354647,Female
3052,Person_52,24,13,11,Creative,254,1091932,1317898,846528,Female
3053,Person_53,50,3,3,Creative,726,705963,705963,609905,Female
3054,Person_54,35,2,2,Technical,709,851044,1655728,1011193,Female
3055,Person_55,39,17,17,Analytical,330,798418,2100035,2455701,Female
