Candidate_ID,Name,Age,Total_Experience,Relevant_Experience,Skill_Type,Distance_Between_Birthplace_and_Home,Last_Drawn_Compensation,Actual_Compensation,Predicted_Compensation,Gender
2001,Person_1,58,39,13,Creative,892,1222383,1222383,617307,Male
2002,Person_2,27,20,20,Analytical,30,1140741,1140741,2351490,Male
2003,Person_3,28,14,14,Analytical,508,631087,631087,1437648,Female
2004,Person_4,55,9,5,Management,249,1008742,1008742,1812704,Male
2005,Person_5,36,7,1,Analytical,53,1811845,2078733,975134,Female
2006,Person_6,49,24,9,Technical,517,870812,2322569,813802,Male
2007,Person_7,27,37,27,Creative,476,741798,741798,1691950,Female
2008,Person_8,48,8,5,Management,904,754312,754312,501776,Male
2009,Person_9,42,8,8,Creative,911,1144238,1144238,2183009,Male
2010,Person_10,40,11,8,Creative,490,900543,900543,1886452,Male
2011,Person_11,23,12,12,Creative,151,1218657,2483922,1504286,Male
2012,Person_12,22,7,7,Analytical,33,1069943,1069943,865321,Male
2013,Person_13,31,10,10,Management,912,1592330,1592330,1220259,Female
2014,Person_14,56,22,22,Creative,579,1875528,1875528,1459759,Male
2015,Person_15,30,20,20,Management,88,532779,1941848,1801758,Male
2016,Person_16,26,34,18,Analytical,667,917399,1629981,1194457,Female
2017,Person_17,48,29,29,Creative,272,1271520,1271520,2191396,Male
2018,Person_18,57,40,37,Creative,116,725116,725116,870428,Female
2019,Person_19,32,2,2,Management,219,1185347,1185347,1213602,Male
2020,Person_20,50,5,5,Analytical,295,1886704,1886704,987084,Male
2021,Person_21,59,38,27,Analytical,700,987813,987813,1059609,Female
2022,Person_22,51,17,3,Management,600,796316,796316,1179191,Male
2023,Person_23,37,15,15,Analytical,756,1966549,2400717,1057860,Female
2024,Person_24,52,29,9,Management,370,571939,1860861,1800845,Female
2025,Person_25,46,22,17,Creative,211,1529150,1573567,716063,Female
2026,Person_26,25,12,12,Creative,468,986695,986695,1936867,Female
2027,Person_27,53,15,15,Creative,702,648107,648107,1516582,Female
2028,Person_28,46,11,11,Creative,993,788805,788805,1451091,Female
2029,Person_29,60,27,6,Analytical,511,562215,562215,2150117,Male
2030,Person_30,30,36,19,Creative,722,1509573,2048973,2387228,Male
2031,Person_31,40,8,8,Creative,597,1042281,1209946,2379361,Male
2032,Person_32,33,3,3,Analytical,183,629971,2109772,1080810,Female
2033,Person_33,45,14,0,Technical,586,1108080,1108080,1383478,Male
2034,Person_34,49,32,32,Management,95,1101498,1101498,1616999,Female
2035,Person_35,30,16,15,Management,524,1450547,1802731,1075979,Male
2036,Person_36,33,30,18,Technical,794,1536140,1536140,1031806,Male
2037,Person_37,40,15,12,Management,378,1473276,1473276,2024363,Male
2038,Person_38,45,40,26,Analytical,326,1908969,2174789,2332200,Female
2039,Person_39,45,37,9,Technical,612,1178387,1365457,553581,Male
2040,Person_40,45,28,28,Technical,309,753881,941402,1915805,Male
2041,Person_41,50,28,28,Technical,307,1291442,1671179,1552112,Male
2042,Person_42,48,13,13,Technical,935,800087,800087,1159739,Male
2043,Person_43,30,32,14,Technical,893,503588,503588,2456013,Female
2044,Person_44,26,25,25,Creative,118,797743,2358777,1612175,Male
2045,Person_45,39,33,20,Technical,509,1755901,1755901,754415,Female
2046,Person_46,50,6,6,Creative,399,1912138,1912138,1265162,Male
2047,Person_47,39,4,4,Creative,802,1339265,2041715,651463,Female
2048,Person_48,44,4,4,Analytical,692,942625,942625,1895923,Male
2049,Person_49,42,12,12,Management,836,1219963,1980436,1124378,Male
2050,Person_50,43,38,24,Management,978,683739,683739,2476663,Male
2051,Person_51,41,28,28,Creative,62,567666,567666,2246480,Female
2052,Person_52,31,6,6,Analytical,255,1091053,1091053,1418539,Male
2053,Person_53,27,36,32,Analytical,974,1779250,1959405,1655667,Female
2054,Person_54,60,20,20,Management,93,804756,1783334,1871536,Male
2055,Person_55,25,8,8,Analytical,968,1094429,1125524,1115264,Male
2056,Person_56,34,0,0,Management,624,735295,735295,2042447,Female
2057,Person_57,57,10,10,Creative,553,1311382,1687991,2292162,Female
2058,Person_58,36,40,30,Creative,75,1371523,1371523,2005239,Female
2059,Person_59,49,23,13,Creative,807,1014120,1014120,2320774,Female
2060,Person_60,24,1,1,Management,733,1347368,1680305,2386814,Female
2061,Person_61,45,34,31,Management,341,1267786,1267786,1740535,Male
2062,Person_62,43,9,9,Management,400,1520982,2427216,688331,Female
2063,Person_63,30,6,6,Analytical,127,526292,823454,523049,Female
2064,Person_64,59,2,2,Technical,547,2119810,2119810,1116506,Female
2065,Person_65,38,4,4,Analytical,553,1234364,1234364,2331527,Male
2066,Person_66,27,28,4,Management,490,1939983,2239633,1688442,Female
