Candidate_ID,Name,Age,Total_Experience,Relevant_Experience,Skill_Type,Distance_Between_Birthplace_and_Home,Last_Drawn_Compensation,Actual_Compensation,Predicted_Compensation,Gender
6001,Person_1,59,36,12,Technical,504,2275390,2424552,1291950,Female
6002,Person_2,23,13,13,Creative,968,1598189,1598189,1448997,Female
6003,Person_3,43,36,6,Management,532,521889,521889,1566316,Male
6004,Person_4,55,7,7,Technical,921,1024254,1024254,1978440,Male
6005,Person_5,38,36,0,Management,452,874728,874728,2290101,Female
6006,Person_6,37,12,2,Technical,740,700718,2346591,1333884,Male
6007,Person_7,28,28,28,Creative,82,1524967,2307118,1087764,Male
6008,Person_8,23,16,7,Management,980,1490587,1564694,1655048,Male
6009,Person_9,42,8,8,Creative,747,1728950,2167583,1612884,Male
6010,Person_10,45,8,8,Technical,511,1046037,2355198,702677,Female
6011,Person_11,28,18,18,Technical,509,771792,771792,1349298,Female
6012,Person_12,60,37,37,Analytical,764,1900692,1900692,1514681,Female
6013,Person_13,55,33,1,Creative,735,1234686,1437022,1788230,Female
6014,Person_14,45,35,13,Creative,637,1070509,1070509,1065074,Male
6015,Person_15,52,27,20,Creative,695,510104,510104,997371,Female
6016,Person_16,55,10,10,Management,548,2429107,2429107,1092480,Male
6017,Person_17,58,16,8,Analytical,535,757598,757598,609873,Male
6018,Person_18,33,27,4,Technical,878,598431,1106108,788456,Male
6019,Person_19,52,26,6,Management,679,767378,1989361,848460,Female
6020,Person_20,54,8,8,Management,123,1059390,1241713,1905443,Male
6021,Person_21,25,32,10,Management,131,1466761,1466761,1384682,Male
6022,Person_22,31,15,0,Technical,499,1484028,2178675,1229819,Female
6023,Person_23,39,10,10,Technical,275,962939,1206170,1707949,Male
6024,Person_24,23,31,31,Analytical,166,1680013,1680013,1981968,Male
6025,Person_25,39,29,9,Analytical,479,1057823,1057823,852401,Female
6026,Person_26,47,25,8,Technical,215,541810,541810,2043585,Male
6027,Person_27,26,38,17,Analytical,468,853075,1741675,1549921,Male
6028,Person_28,32,16,15,Creative,110,1886785,1886785,2382962,Female
6029,Person_29,36,22,11,Technical,504,819336,819336,642538,Female
6030,Person_30,42,24,6,Management,455,1294001,1294001,654667,Female
6031,Person_31,46,31,14,Analytical,375,643733,643733,1471270,Female
6032,Person_32,46,7,7,Analytical,534,1090876,1090876,1993613,Female
6033,Person_33,22,8,8,Technical,581,1024823,1712976,1676972,Male
6034,Person_34,46,9,9,Analytical,614,1144644,1752396,2178974,Male
6035,Person_35,36,2,2,Creative,753,1201344,2320424,1497254,Male
6036,Person_36,41,4,4,Analytical,65,1293758,1293758,759388,Male
6037,Person_37,36,7,7,Management,30,1160303,1584904,2430841,Female
6038,Person_38,32,39,18,Technical,542,1008482,2130224,2283094,Female
6039,Person_39,24,34,25,Management,233,1175885,1175885,1215132,Male
6040,Person_40,30,40,35,Management,808,990124,1799914,762208,Male
6041,Person_41,48,24,24,Creative,353,1474568,1474568,1689787,Female
6042,Person_42,26,13,1,Analytical,63,1986378,2426159,964313,Female
6043,Person_43,34,14,14,Technical,174,1271926,1271926,1115837,Male
6044,Person_44,51,28,28,Creative,430,593612,593612,1584950,Male
6045,Person_45,29,22,16,Analytical,190,2013523,2156110,1884484,Female
6046,Person_46,50,32,28,Creative,511,696075,1037651,646195,Female
6047,Person_47,23,39,37,Management,147,1613541,2466618,993705,Female
6048,Person_48,55,16,16,Technical,65,807028,807028,1066184,Female
6049,Person_49,60,28,2,Technical,698,1024426,1024426,1503065,Female
6050,Person_50,30,31,31,Management,808,1609534,2090336,1270236,Female
6051,Person_51,60,4,4,Management,547,1914983,1914983,2461708,Male
6052,Person_52,43,21,12,Analytical,63,1118593,1118593,960017,Female
6053,Person_53,48,26,6,Analytical,598,2462011,2495280,1506868,Female
6054,Person_54,56,1,1,Technical,482,942621,942621,1560513,Male
6055,Person_55,34,7,7,Technical,324,2020899,2212963,1026045,Female
6056,Person_56,47,26,6,Analytical,511,1219231,1985220,2479582,Female
6057,Person_57,25,6,6,Technical,490,698386,895162,1953214,Male
6058,Person_58,33,6,6,Analytical,243,1775403,1775403,1581850,Male
6059,Person_59,26,28,27,Creative,307,1535808,1535808,2082466,Male
6060,Person_60,39,0,0,Technical,447,1310322,1310322,1967899,Male
6061,Person_61,39,10,8,Technical,882,591927,2032844,2464481,Female
6062,Person_62,48,24,19,Management,387,629353,629353,1947666,Female
6063,Person_63,36,23,6,Management,351,2142892,2488709,2278088,Male
6064,Person_64,59,11,11,Creative,961,1131122,2226914,1620001,Male
6065,Person_65,41,31,31,Technical,869,1448249,2343908,1286538,Female
6066,Person_66,55,5,5,Creative,837,1634272,1710902,1772711,Female
6067,Person_67,27,22,2,Management,417,689424,2499974,836839,Female
6068,Person_68,31,7,7,Analytical,976,1652727,1652727,2270711,Male
