72197,"Mohabes, Joanna",Female,40,16,Mumbai,2462680,205223,102612,51306,1600,12313,3335,Suspect,2024-09-01
6884,"Tripathi, Kenneth",Male,44,20,Mumbai,2555867,212989,106494,53247,1600,12779,3461,Genuine,2024-09-01
71205,"Stuckey, Paul",Male,44,20,Delhi,2562296,213525,106762,53381,1600,12811,3470,Genuine,2024-09-01
98640,"Auyeung, Elizabeth",Female,45,21,Chennai,2612998,217750,108875,54438,1600,13065,3538,Genuine,2024-09-01
85514,"Douglas, Ashleigh",Female,29,5,Chennai,2193953,182829,91414,45707,1600,10970,2971,Suspect,2024-09-01
94588,"Bauer, Katie",Female,47,23,Chennai,2702242,225187,112594,56297,1600,13511,3659,Genuine,2024-09-01
4986,"Loo, Anita",Female,43,19,Delhi,2552373,212698,106349,53174,1600,12762,3456,Suspect,2024-09-01
31291,"Chandramouli, Kelsey",Female,46,22,Delhi,2632286,219357,109678,54839,1600,13161,3565,Genuine,2024-09-01
10772,"Smith, Jaeson",Male,43,19,Delhi,2527851,210654,105327,52664,1600,12639,3423,Suspect,2024-09-01
65287,"Athwal, Andrew",Male,46,22,Delhi,2624523,218710,109355,54678,1600,13123,3554,Suspect,2024-09-01
80669,"Gamage, Priscilla",Female,36,12,Chennai,2376298,198025,99012,49506,1600,11881,3218,Genuine,2024-09-01
52962,"Huang, Christopher",Male,31,7,Chennai,2246575,187215,93608,46804,1600,11233,3042,Suspect,2024-09-01
12897,"Zarcula, Harutyun",Male,28,4,Chennai,2150408,179201,89600,44800,1600,10752,2912,Genuine,2024-09-01
97487,"Sohn, Ha-Mi",Female,30,6,Chennai,2234072,186173,93086,46543,1600,11170,3025,Suspect,2024-09-01
79302,"Kang, Matthew",Male,26,2,Mumbai,2037652,169804,84902,42451,1600,10188,2759,Genuine,2024-09-01
80103,"Nguyen, Alice",Female,26,2,Mumbai,2072748,172729,86364,43182,1600,10364,2807,Suspect,2024-09-01
45489,"Nguyen, You-One",Male,45,21,Chennai,2588202,215684,107842,53921,1600,12941,3505,Genuine,2024-09-01
44224,"Vue, Amy",Female,45,21,Delhi,2600793,216733,108366,54183,1600,13004,3522,Suspect,2024-09-01
51079,"Stribling-Harrell, Lari",Female,31,7,Delhi,2259413,188284,94142,47071,1600,11297,3060,Genuine,2024-09-01
97743,"Sisomsune, Imagine",Female,41,17,Delhi,2491478,207623,103812,51906,1600,12457,3374,Suspect,2024-09-01
85849,"Sloan, Kayleigh",Female,45,21,Mumbai,2614049,217837,108918,54459,1600,13070,3540,Suspect,2024-09-01
26233,"Hritsick, Tammy",Female,45,21,Delhi,2593073,216089,108044,54022,1600,12965,3511,Genuine,2024-09-01
83711,"Fyola, Jared Christian",Male,34,10,Chennai,2323466,193622,96811,48406,1600,11617,3146,Genuine,2024-09-01
16661,"Sun, Anhminh",Male,43,19,Mumbai,2532530,211044,105522,52761,1600,12663,3429,Genuine,2024-09-01
34731,"Le, Valeria",Female,26,2,Mumbai,2060842,171737,85868,42934,1600,10304,2791,Genuine,2024-09-01
61674,"Sayavong, Selman",Male,40,16,Mumbai,2456552,204713,102356,51178,1600,12283,3327,Genuine,2024-09-01
3314,"Kim, Lindsay",Female,45,21,Mumbai,2596748,216396,108198,54099,1600,12984,3516,Genuine,2024-09-01
42174,"Cheung, Vy",Female,34,10,Delhi,2341709,195142,97571,48786,1600,11709,3171,Suspect,2024-09-01
48303,"Chak, Cristal",Female,35,11,Chennai,2356285,196357,98178,49089,1600,11781,3191,Genuine,2024-09-01
66255,"Eang, Julia",Female,45,21,Mumbai,2602147,216846,108423,54212,1600,13011,3524,Genuine,2024-09-01
82725,"Favors, Albert",Male,30,6,Mumbai,2221570,185131,92566,46283,1600,11108,3008,Genuine,2024-09-01
48557,"Yun, Hayley",Female,48,24,Chennai,2744871,228739,114370,57185,1600,13724,3717,Suspect,2024-09-01
82334,"Barman, Soua",Female,28,4,Chennai,2171467,180956,90478,45239,1600,10857,2941,Genuine,2024-09-01
44350,"Ith, Conor",Male,49,25,Mumbai,2789268,232439,116220,58110,1600,13946,3777,Suspect,2024-09-01
35445,"Scott, Huong",Female,27,3,Mumbai,2119632,176636,88318,44159,1600,10598,2870,Genuine,2024-09-01
73922,"Cheng, Randy",Male,40,16,Mumbai,2459638,204970,102485,51242,1600,12298,3331,Genuine,2024-09-01
30330,"Erdenebileg, Anicca",Female,38,14,Mumbai,2422371,201864,100932,50466,1600,12112,3280,Suspect,2024-09-01
41130,"Englick, Rojesh",Male,35,11,Mumbai,2349110,195759,97880,48940,1600,11746,3181,Suspect,2024-09-01
